date,temp_max_c,temp_min_c,temp_mean_c,precip_mm,wind_max_kmh,solar_rad_mj_m2,humidity_pct,pressure_hpa,month,rained
2010-01-01,28.2,24.3,26.0,2.0,19.5,20.11,82,1011.0,1,1
2010-01-02,28.4,24.0,26.1,3.8,18.3,22.74,81,1011.3,1,1
2010-01-03,28.7,23.5,26.0,1.0,20.2,23.97,81,1011.9,1,1
2010-01-04,28.6,23.6,26.1,1.2,15.2,22.0,81,1012.7,1,1
2010-01-05,28.1,24.0,25.9,2.8,14.1,14.48,82,1012.0,1,1
2010-01-06,29.1,24.9,26.8,0.0,16.6,20.54,76,1010.7,1,0
2010-01-07,30.2,24.7,27.0,0.4,19.5,24.36,75,1010.9,1,0
2010-01-08,29.0,24.6,26.6,1.1,16.9,21.02,79,1011.8,1,1
2010-01-09,27.8,24.6,26.2,3.2,17.0,20.22,82,1011.4,1,1
2010-01-10,27.9,23.7,25.8,2.1,14.8,19.16,81,1011.3,1,1
2010-01-11,28.8,24.8,26.4,2.9,16.6,18.18,78,1011.3,1,1
2010-01-12,28.8,25.1,26.8,1.0,19.6,17.37,77,1011.9,1,1
2010-01-13,29.0,25.0,26.8,0.0,16.2,20.65,75,1012.7,1,0
2010-01-14,29.4,25.3,27.0,0.0,17.3,23.79,75,1013.1,1,0
2010-01-15,28.8,24.9,26.7,0.6,17.2,20.22,78,1013.9,1,0
2010-01-16,28.3,25.1,26.4,3.3,16.8,18.49,82,1014.2,1,1
2010-01-17,28.2,24.4,26.4,4.1,17.9,21.34,81,1014.0,1,1
2010-01-18,29.0,24.9,26.3,2.2,17.4,19.73,79,1013.2,1,1
2010-01-19,28.3,24.4,25.9,3.4,14.3,16.59,81,1012.5,1,1
2010-01-20,28.3,23.9,25.7,4.2,11.9,16.42,84,1012.1,1,1
2010-01-21,28.5,24.2,26.3,2.8,15.3,18.87,80,1012.4,1,1
2010-01-22,29.3,25.1,26.9,0.0,15.0,25.71,72,1012.0,1,0
2010-01-23,28.4,24.7,26.4,3.5,18.4,17.79,80,1010.9,1,1
2010-01-24,29.5,24.6,26.8,1.6,17.5,25.93,75,1010.7,1,1
2010-01-25,28.4,23.9,26.3,2.5,16.6,22.6,79,1010.6,1,1
2010-01-26,28.4,23.8,25.9,2.9,17.9,22.05,84,1010.2,1,1
2010-01-27,29.1,24.1,26.5,0.9,17.8,23.08,82,1010.1,1,0
2010-01-28,27.8,24.4,26.0,3.3,16.9,20.63,85,1010.7,1,1
2010-01-29,29.2,23.9,26.4,0.8,18.1,23.44,80,1011.1,1,0
2010-01-30,29.1,25.6,27.3,0.0,18.6,18.65,72,1011.8,1,0
2010-01-31,28.4,24.7,26.4,10.3,17.1,16.05,81,1012.3,1,1
2010-02-01,29.6,25.9,27.4,0.4,17.7,25.15,74,1013.2,2,0
2010-02-02,29.0,25.4,26.9,2.3,19.0,20.85,77,1012.9,2,1
2010-02-03,29.8,24.6,27.2,0.3,16.3,25.5,78,1012.2,2,0
2010-02-04,29.2,25.4,27.2,1.5,19.7,22.77,79,1012.2,2,1
2010-02-05,29.6,26.0,27.5,0.8,18.7,22.1,74,1011.8,2,0
2010-02-06,29.9,25.0,27.2,0.7,16.9,22.42,77,1011.6,2,0
2010-02-07,29.5,24.6,27.0,2.0,18.4,22.15,80,1010.9,2,1
2010-02-08,29.4,25.8,27.2,2.1,16.7,19.14,78,1010.3,2,1
2010-02-09,28.8,25.1,26.9,0.6,17.7,17.79,81,1009.8,2,0
2010-02-10,29.1,25.9,27.0,1.2,18.6,18.77,75,1009.5,2,1
2010-02-11,29.5,24.7,26.8,3.7,17.0,22.91,77,1009.2,2,1
2010-02-12,28.6,23.9,26.3,3.0,16.0,20.78,82,1011.0,2,1
2010-02-13,29.7,24.7,27.2,0.1,15.5,24.08,72,1011.4,2,0
2010-02-14,29.3,24.3,26.9,0.8,17.3,21.96,75,1011.5,2,0
