Nome,Semanas,Sexo
Steffi Graf,377,Feminino
Martina Navratilova,332,Feminino
Serena Williams,319,Feminino
Roger Federer,308,Masculino
Pete Sampras,286,Masculino
Ivan Lendl,270,Masculino
Jimmy Connors,268,Masculino
Chris Evert,260,Feminino
Novak Djokovic,223,Masculino
Martina Hingis,209,Feminino
Monica Seles,178,Feminino
John McEnroe,170,Masculino
Rafael Nadal,167,Masculino
Justine Henin,117,Feminino
Björn Borg,109,Masculino
Andre Agassi,101,Masculino
Lindsay Davenport,98,Feminino
Lleyton Hewitt,80,Masculino
Stefan Edberg,72,Masculino
Caroline Wozniacki,71,Feminino
Jim Courier,58,Masculino
Victoria Azarenka,51,Feminino
Gustavo Kuerten,43,Masculino
Andy Murray,41,Masculino
Ilie Nastase,40,Masculino
Amélie Mauresmo,39,Feminino
Angelique Kerber,34,Feminino
Dinara Safina,26,Feminino
Tracy Austin,21,Feminino
Simona Halep,21,Feminino
Maria Sharapova,21,Feminino
Mats Wilander,20,Masculino
Kim Clijsters,20,Feminino
Jelena Janković,18,Feminino
Jennifer Capriati,17,Feminino
Andy Roddickc,13,Masculino
Ana Ivanovic,12,Feminino
Boris Becker,12,Masculino
Arantxa Sánchez Vicario,12,Feminino
Venus Williams,11,Feminino
Marat Safin,9,Masculino
John Newcombe,8,Masculino
Juan Carlos Ferrero,8,Masculino
Karolína Plíšková,8,Feminino
Yevgeny Kafelnikov,6,Masculino
Marcelo Ríos,6,Masculino
Thomas Muster,6,Masculino
Garbiñe Muguruza,4,Feminino
Evonne Goolagong Cawley,2,Feminino
Carlos Moya,2,Masculino
Patrick Rafter,1,Masculino
