crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat,medv
0.26169,0,9.9,0,0.544,6.023,90.4,2.834,4,304,18.4,11.72,19.4
5.70818,0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,7.74,23.7
0.02899,40,1.25,0,0.429,6.939,34.5,8.7921,1,335,19.7,5.89,26.6
0.49298,0,9.9,0,0.544,6.635,82.5,3.3175,4,304,18.4,4.54,22.8
0.54452,0,21.89,0,0.624,6.151,97.9,1.6687,4,437,21.2,18.46,17.8
0.11504,0,2.89,0,0.445,6.163,69.6,3.4952,2,276,18,11.34,21.4
0.3494,0,9.9,0,0.544,5.972,76.7,3.1025,4,304,18.4,9.97,20.3
4.75237,0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,18.13,14.1
5.66637,0,18.1,0,0.74,6.219,100,2.0048,24,666,20.2,16.59,18.4
0.44178,0,6.2,0,0.504,6.552,21.4,3.3751,8,307,17.4,3.76,31.5
0.36894,22,5.86,0,0.431,8.259,8.4,8.9067,7,330,19.1,3.54,42.8
1.42502,0,19.58,0,0.871,6.51,100,1.7659,5,403,14.7,7.39,23.3
0.7857,20,3.97,0,0.647,7.014,84.6,2.1329,5,264,13,14.79,30.7
0.22876,0,8.56,0,0.52,6.405,85.4,2.7147,5,384,20.9,10.63,18.6
0.10574,0,27.74,0,0.609,5.983,98.8,1.8681,4,711,20.1,18.07,13.6
1.41385,0,19.58,1,0.871,6.129,96,1.7494,5,403,14.7,15.12,17
0.02875,28,15.04,0,0.464,6.211,28.9,3.6659,4,270,18.2,6.21,25
0.15086,0,27.74,0,0.609,5.454,92.7,1.8209,4,711,20.1,18.06,15.2
0.03705,20,3.33,0,0.4429,6.968,37.2,5.2447,5,216,14.9,4.59,35.4
0.38214,0,6.2,0,0.504,8.04,86.5,3.2157,8,307,17.4,3.13,37.6
8.26725,0,18.1,1,0.668,5.875,89.6,1.1296,24,666,20.2,8.88,50
1.46336,0,19.58,0,0.605,7.489,90.8,1.9709,5,403,14.7,1.73,50
0.02055,85,0.74,0,0.41,6.383,35.7,9.1876,2,313,17.3,5.77,24.7
18.4982,0,18.1,0,0.668,4.138,100,1.137,24,666,20.2,37.97,13.8
0.26838,0,9.69,0,0.585,5.794,70.6,2.8927,6,391,19.2,14.1,18.3
4.55587,0,18.1,0,0.718,3.561,87.9,1.6132,24,666,20.2,7.12,27.5
0.0459,52.5,5.32,0,0.405,6.315,45.6,7.3172,6,293,16.6,7.6,22.3
